#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 6 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
